Id,RU
SettingsMenu,Настр<zp>ойки
ExitMenu,Выход
PlayGame,Играть
MusicVolume,Громкость музыки
SoundVolume,Громкость звуков
ExitButton,Выход
BuildTower,Строй башни
CutTree,Руби дерево
Hint,Подсказка
FToContinue,F для продолжения
MenuLable,Меню
DestroyStones,Ломай камни
PressF,Нажми F
BuildingDescriprion,-{0} Время tg -{1} Дерево tg -{2} Камень
Time,Время
Stone,Камень
Wood,Дерево
ReloadText,Перезарядка {0} Минут(ы)
ResourceDescriprion,-{0} Время tg +{1} 
TreeM0,Великое Древо мы обязательно выстоим!
TreeM1,Малумам до тебя не добраться!
TreeM2,Ох бедные Малумы... Бедные сбитые с пути эльфы.. Мы вас спасем!
TreeM3,Тебе нужно только расцвести! Дожить бы только до рассвета..
TreeM4,Язва на подходе... Нужно быть начеку
TreeM5,Ох за что эта хворь настигла наш мир!
TreeM6,Были бы предки живы - было бы легче
TreeM7,Я не дам им уничтожить тебя!
TreeM8,Малумы не смогут навредить тебе. Я буду тебя защищать!
TreeM9,Со мною сила предков поэтому семена жизни обязательно выживут.
TreeM10,Язва превратила эльфов в злобных малумов. Нужно излечить их и вернуть им прежний вид.
TreeM11,Язва угрожает нашему миру. Мы должны выстоять до рассвета
Skip,Пропустить
Commics0,Остался лишь день..
Commics1,Язва поглатила все живое
Commics2,Это лишь рассвет жизни
